id,codigo_notaria,direccion,codigo_postal,telefono,fax,email,municipio_id,codigo_ine_ccaa,codigo_ine_provincia,codigo_ine_municipio,activa,audit_creado_en,audit_creado_por
93dde203-8ae2-4fa3-a24b-c7ad1db90759,150026001,"Rua das Palmeiras, número 19 Bajo (Milladoiro)",15895,881.046.685,881.047.857,,4de6b664-a528-47d6-8a96-05ada0ed3be0,12,15,15002,True,2026-01-28T12:30:51.774810,transform_notarios.py
007ad8e2-a500-480c-9b19-3fc35aab46db,150050026,"Travesia de Arteixo, número 4",15142,881.150.515,881.150.525,info@arteixonotariamaf.com,4c91b095-96f2-4e5f-8bba-7d68140ea6a1,12,15,15005,True,2026-01-28T12:30:51.776115,transform_notarios.py
ccf85fc1-a28e-46bd-ac16-5f5d90af9f7f,150050025,"Travesia Arteixo, número 2 (Cruce de Sabón)",15142,981.640.939,981.640.940,,4c91b095-96f2-4e5f-8bba-7d68140ea6a1,12,15,15005,True,2026-01-28T12:30:51.776115,transform_notarios.py
b2579629-239e-485b-bbf4-d0683a225a43,150063042,"Calle Lugo, número 2 Pl 2 Izq",15810,981.500.643,981.500.102,notaria.arzua@gmail.com,8486551d-1bc4-4f56-829a-41adf02d20c5,12,15,15006,True,2026-01-28T12:30:51.776115,transform_notarios.py
8fd7e2bd-2e2c-49f1-884b-55bdb5f4c907,150098001,"Rua dos Ferradores, número 17 Pl 1",15300,981.770.412,981.770.804,,2cec4bcb-3901-4646-be6c-fb3d6ec92373,12,15,15009,True,2026-01-28T12:30:51.777125,transform_notarios.py
04cb9992-91f6-40d4-a45f-da8f47923ef5,150098002,"Calle Fonte da Unta, número 2 Pl 2 I",15300,981.775.959,981.775.863,,2cec4bcb-3901-4646-be6c-fb3d6ec92373,12,15,15009,True,2026-01-28T12:30:51.777125,transform_notarios.py
1c0f15da-5ce1-4f63-bde1-23ea3a1b3cb4,150119037,"Calle Robustiano Pérez del Río, número 11 Local",15930,981.844.216,981.845.261,,3ddaef53-c900-460e-ae7c-2a5faecbb758,12,15,15011,True,2026-01-28T12:30:51.777125,transform_notarios.py
87369fc9-1895-45b8-a58c-1b4b530888c1,150177001,"Rua Telleiro, número 10 Local (Plaza Manuel Lugrís - El Temple)",15679,981.654.887,981.661.950,,cddacd79-4362-41c6-a7df-42439c3dce98,12,15,15017,True,2026-01-28T12:30:51.777125,transform_notarios.py
59f79e25-edfc-40cf-ab00-3ec08ec07733,150196011,"Calle Luis Calvo, número 32 Planta 1",15100,981.704.066,981.704.192,,cea144b6-770f-4cc0-a305-e456a5108115,12,15,15019,True,2026-01-28T12:30:51.777125,transform_notarios.py
edc997dd-211e-47b4-b4af-72ada407ea1f,150196008,"Calle Estrella, número 5 1",15100,981.702.890,981.755.896,,cea144b6-770f-4cc0-a305-e456a5108115,12,15,15019,True,2026-01-28T12:30:51.777125,transform_notarios.py
b8f1581c-391f-4e2b-b65e-8c25bf4b2298,150222026,"Avenida da Area, número 12 Bajo",15350,981.481.092,981.492.264,,5f83d6ac-7a8f-47f1-9dec-6713191f8b0b,12,15,15022,True,2026-01-28T12:30:51.777125,transform_notarios.py
3cb9eb8f-8c04-4590-bb82-d716cd7736f3,150281001,"Avenida Constitución, número 5",15130,981.747.342,981.747.244,,22239e6f-6915-45d3-90fa-77a214eb00c8,12,15,15028,True,2026-01-28T12:30:51.778132,transform_notarios.py
5156c6df-5234-4b4b-bfac-54e868cdfbfd,150308017,"Calle Juana de Vega, número 12 Pl 3",15003,981.228.227,981.214.497,,fb9ed4af-37bc-4cd4-846d-da2b7b993f08,12,15,15030,True,2026-01-28T12:30:51.778132,transform_notarios.py
6f8ec9d4-0005-48d0-a2bb-85c453a93d46,150308013,"Calle Juana de Vega, número 2 Pl 3",15003,981.216.360,981.226.438,,fb9ed4af-37bc-4cd4-846d-da2b7b993f08,12,15,15030,True,2026-01-28T12:30:51.778132,transform_notarios.py
3e08264b-7e6d-415f-ac7d-3b4127e5b339,150308001,"Calle Ronda de Outeiro, número 245 Bajo Izq",15010,981.211.124,981.200.786,,fb9ed4af-37bc-4cd4-846d-da2b7b993f08,12,15,15030,True,2026-01-28T12:30:51.778132,transform_notarios.py
2c994f7b-7694-4d0f-9d1d-83cde44ca15b,150308003,"Calle Durán Loriga, número 7 Planta 1 Puerta D",15003,981.619.443,881.800.200,,fb9ed4af-37bc-4cd4-846d-da2b7b993f08,12,15,15030,True,2026-01-28T12:30:51.778132,transform_notarios.py
cb3847e0-58ca-493a-bb69-0612e668e540,150308012,"Plaza de Galicia, número 2 Pl 2 C",15004,981.126.950,981.126.661,,fb9ed4af-37bc-4cd4-846d-da2b7b993f08,12,15,15030,True,2026-01-28T12:30:51.778132,transform_notarios.py
204a6433-735f-40de-a5f0-843257bf6308,150308006,"Plaza Lugo, número 18 Planta 1",15004,881.150.100,881.150.400,gonzalofreire@notariado.org,fb9ed4af-37bc-4cd4-846d-da2b7b993f08,12,15,15030,True,2026-01-28T12:30:51.778132,transform_notarios.py
39e2d17b-cb8f-46bd-95b5-994e0e0a1d96,150308021,"Calle Fontán, número 3 Pl 2 A-B",15004,881.886.293,881.886.365,,fb9ed4af-37bc-4cd4-846d-da2b7b993f08,12,15,15030,True,2026-01-28T12:30:51.778132,transform_notarios.py
99abacb8-412b-403e-88be-d50af21ff909,150308016,"Rua Nueva, número 3 Planta 3",15003,981.260.726,981.227.696,,fb9ed4af-37bc-4cd4-846d-da2b7b993f08,12,15,15030,True,2026-01-28T12:30:51.779137,transform_notarios.py
e643b95a-236f-4b3d-9087-c7f1cfc0fab0,150308019,"Calle Compostela, número 8 Pl 2",15004,981.227.516,981.222.759,,fb9ed4af-37bc-4cd4-846d-da2b7b993f08,12,15,15030,True,2026-01-28T12:30:51.779137,transform_notarios.py
3fc83d55-4c9f-4d79-b4c8-633ba66daa59,150308020,"Calle Alcalde Puga y Parga, número 2 Pl 3 (Plaza de Cuatro Caminos)",15006,981.174.030,981.902.044,,fb9ed4af-37bc-4cd4-846d-da2b7b993f08,12,15,15030,True,2026-01-28T12:30:51.779137,transform_notarios.py
157af2b5-70d6-4a47-9139-8d61fd5808e7,150308005,"Calle Cantón Pequeño, número 13 Pl 3",15003,981.904.054,981.905.459,,fb9ed4af-37bc-4cd4-846d-da2b7b993f08,12,15,15030,True,2026-01-28T12:30:51.779137,transform_notarios.py
2aec5df1-0ec3-45fb-be94-fcdd3f03fbaa,150308015,"Calle Durán Lóriga, número 11 Pl 2",15003,981.225.727,981.226.168,,fb9ed4af-37bc-4cd4-846d-da2b7b993f08,12,15,15030,True,2026-01-28T12:30:51.779137,transform_notarios.py
cfea880e-bb06-4227-9e43-44ab3e1fcf72,150308018,"Calle Durán Loriga, número 11 Pl 1",15003,981.218.485,981.208.575,,fb9ed4af-37bc-4cd4-846d-da2b7b993f08,12,15,15030,True,2026-01-28T12:30:51.779137,transform_notarios.py
10805ed7-4322-4201-b90e-f5918af90e52,150308022,"Calle Huertas, número 8 Pl 6",15003,981.226.385,981.208.309,,fb9ed4af-37bc-4cd4-846d-da2b7b993f08,12,15,15030,True,2026-01-28T12:30:51.779137,transform_notarios.py
a346f5f7-1f87-4780-8523-903cc211d43b,150308014,"Calle Juana de Vega, número 9 Planta 3",15003,981.223.795,,,fb9ed4af-37bc-4cd4-846d-da2b7b993f08,12,15,15030,True,2026-01-28T12:30:51.779137,transform_notarios.py
cda0d651-1392-414d-8739-864ee3c627b3,150315001,"Calle Anxo Senra, número 6 Local",15670,981.612.569,981.667.052,,a834060d-d926-4591-a728-c0a975c595cb,12,15,15031,True,2026-01-28T12:30:51.780141,transform_notarios.py
c4562c12-0abc-489f-a990-6e75096bf5e0,150354028,"Rua dos Muiños, número 3",15500,981.340.359,981.340.403,,b74361e9-9b90-4148-985a-66eb47db02a6,12,15,15035,True,2026-01-28T12:30:51.780141,transform_notarios.py
